id,thingid,userid,rating,votes,helpful,year,month,day
0,1,A2JW67OY8U6HHK,5,10,9,2000,7,28
1,1,A2VE83MZF98ITY,5,6,5,2003,12,14
2,2,A11NCO6YTE4BTJ,5,5,4,2001,12,16
3,2,A9CQ3PLRNIR83,4,5,5,2002,1,7
4,2,A13SG9ACZ9O5IM,5,8,8,2002,1,24
5,2,A1BDAI6VEYMAZA,5,4,4,2002,1,28
6,2,A2P6KAWXJ16234,4,16,16,2002,2,6
7,2,AMACWC3M7PQFR,4,5,5,2002,2,14
8,2,A3GO7UV9XX14D8,4,6,6,2002,3,23
9,2,A1GIL64QK68WKL,5,8,8,2002,5,23
10,2,AEOBOF2ONQJWV,5,8,5,2003,2,25
11,2,A3IGHTES8ME05L,5,5,5,2003,11,25
12,2,A1CP26N8RHYVVO,1,13,9,2004,2,11
13,2,ANEIANH0WAT9D,5,1,1,2005,2,7
14,3,A3IDGASRQAW8B2,5,2,2,2003,7,10
15,4,A2591BUPXCS705,4,1,1,2004,8,19
16,6,ATVPDKIKX0DER,5,12,11,1997,7,4
17,6,AUEZ7NVOEHYRY,5,13,12,1998,10,11
18,6,ATVPDKIKX0DER,5,18,7,1999,4,15
19,6,AJYG6ZJUQPZ9M,4,14,10,2000,1,4
20,6,A2ESGJTTLJWIAK,5,17,11,2000,2,8
21,6,A2CHULHAO3A9BY,5,23,16,2000,4,28
22,6,A3BNWP7ATVP045,5,7,6,2001,10,9
23,6,AVOQ12GBXJ3F,2,6,0,2002,9,26
24,6,A2NJO6YE954DBH,5,23,21,2002,11,8
25,6,A393PYR83LT7R8,1,8,8,2002,12,4
26,6,AVY10FEFM6OBC,4,7,1,2003,4,21
27,6,A2OSPW11FVXTU6,4,3,2,2003,7,24
28,6,A32Z5HQGTG5V49,4,7,4,2003,10,10
29,6,A2WSI8HOWHFDOT,5,27,25,2003,10,21
30,6,A3BGC9MSXGM0WH,4,13,10,2003,10,26
31,6,A1IU7S4HCK1XK0,5,4,4,2003,12,30
32,6,A30JTDN020MAJB,4,4,4,2004,5,1
33,7,A2O3PW57IFNUHV,5,10,10,2000,5,22
34,7,A3FNRL9QYZOBDH,4,0,0,2002,8,19
35,7,A3SWAHVVHVPKWZ,5,5,5,2003,5,15
36,8,A2F1X6YFCJZ1FH,5,10,9,2000,10,31
37,8,A1OZQCZAK21S6M,5,13,12,2000,11,1
38,8,AL5D52NA8F67F,5,16,13,2000,11,19
39,8,AVFBIM1W41IXO,1,0,0,2001,4,16
40,8,A3I6SOXDIE0M8R,5,6,6,2001,5,10
41,8,A3559TE3F9RRNL,5,5,5,2001,7,1
42,8,ASPUU0H77LFXG,5,3,3,2001,8,25
43,8,A3L902U49A6X5K,5,6,6,2001,9,13
44,8,AL5OEDM8TPTKV,5,10,10,2001,10,25
45,8,A1R64WON03GTN4,5,1,1,2001,11,3
46,8,A2WKESDGF2YC8S,5,8,8,2001,12,24
47,8,A71P2O8OMF8GY,5,7,5,2001,12,31
48,8,AB8HLDYSDI5M7,4,10,4,2002,4,9
49,8,A37FDCXZLI0MAC,2,12,5,2002,9,23
50,8,AQE41QO3NEUMW,5,3,2,2003,9,3
51,10,A2RI73IFW2GWU1,4,12,7,2000,10,8
52,10,A1GE54WF2WUZ2X,5,11,8,2001,5,4
53,10,A36S399V1VC4DR,4,5,3,2001,8,27
54,10,A280GY5UVUS2QH,3,12,7,2002,1,26
55,10,A2YHZJIU4L4IOI,4,10,2,2004,4,7
56,10,A1MB83EO48TRSC,4,5,3,2004,4,27
57,11,A2A1TNBFJNRADP,5,23,21,2000,4,11
58,12,A2V9UBVMQFDV20,5,8,8,2004,4,21
59,12,A3NXQLHXJZO5FB,5,4,4,2004,6,6
60,12,A1RNV50D6DNE42,1,7,3,2004,7,5
61,12,A3FVNS48MY8L32,5,13,13,2004,7,8
62,12,A1WC6GEAVET9K8,5,6,5,2004,7,19
63,12,A1PH1HGK2HFQ9G,5,5,4,2004,8,22
64,12,A1DOK8OJ386KDS,5,11,10,2004,10,9
65,12,A1E4FW0F5R7TOY,4,8,4,2004,12,28
66,12,A14OJS0VWMOSWO,5,7,4,2005,3,8
67,12,A3UDEP0MTKLLL2,5,5,4,2005,3,28
68,12,A19UTUEBWKIZFT,1,4,1,2005,5,28
69,12,A35X1EMOVF90JG,5,2,2,2005,6,19
70,15,A2IGOA66Y6O8TQ,5,3,2,2002,5,13
71,15,A2OIN4AUH84KNE,5,2,1,2002,6,17
72,15,A2HN382JNT1CIU,1,6,1,2003,1,2
73,15,A2FDJ79LDU4O18,4,1,1,2003,6,7
74,15,A39QMV9ZKRJXO5,4,1,1,2003,6,27
75,15,AUUVMSTQ1TXDI,1,2,0,2004,2,17
76,15,A2C5K0QTLL9UAT,5,2,2,2004,2,24
77,15,A5XYF0Z3UH4HB,5,1,1,2004,10,13
78,16,A2C4FHNHVRR8JZ,5,3,2,1998,7,24
79,16,ATVPDKIKX0DER,5,4,3,1999,3,17
80,16,A1XPCHKIFECW33,4,3,3,2000,3,28
81,16,A17VTMYNK7FHHG,5,4,3,2000,5,3
82,16,A331OF34UX4Y1K,4,3,2,2000,11,6
83,16,A3KMI0ZF739BW5,5,4,3,2000,12,2
84,16,A26BWRBPP4V2WF,4,5,5,2001,10,7
85,16,A3AAX9AO0CIFBI,5,2,2,2002,6,18
86,16,A2DOKCCVTGTAE2,5,1,1,2002,8,9
87,16,A1BVYFPZ0ZAYYV,3,1,0,2004,5,17
88,17,A3DMU8D8N76WRH,5,4,3,2002,11,28
89,17,AH1H2DBKZ8WFA,5,3,2,2003,10,29
90,17,A3S1M10UPEQ3ED,1,5,4,2004,6,6
91,18,ATVPDKIKX0DER,5,0,0,1998,12,11
92,18,ATVPDKIKX0DER,5,5,3,1998,12,11
93,18,A21F29TO32JOU5,5,5,0,1999,3,1
94,18,A37S91N4IX72W2,5,7,0,1999,4,24
95,18,A1SXWD2D3W3TXK,5,7,6,1999,5,7
96,18,AKMBV0IV5WIC5,5,2,0,2000,1,1
97,18,AKMBV0IV5WIC5,5,15,14,2000,1,1
98,18,A3QSUZVVNYZZ7L,5,6,1,2001,2,27
99,18,A1HNKSWGRW0YKB,5,0,0,2001,6,28
100,18,A1HNKSWGRW0YKB,5,1,1,2001,6,28
101,18,ABSIJ0Q8N0VKP,3,0,0,2001,8,13
102,18,A388KDPHUB94V3,5,0,0,2001,8,16
103,18,ATT0FBIM6YNX7,5,0,0,2001,10,9
104,18,A1LFRJ3CSQFCI6,5,2,2,2002,2,7
105,18,A1UPGL67SKBSPJ,5,0,0,2003,5,13
106,19,A1RLXSCKKMI4KF,3,9,5,2002,3,23
107,19,ATS7LYGLUX34L,5,3,3,2002,9,29
108,19,ATS7LYGLUX34L,5,2,2,2002,10,3
109,19,A3DQ6L24TOMXAZ,4,10,10,2002,11,7
110,19,A3M6J4CTJ13QBX,2,11,4,2003,3,17
111,19,A4JP4T1F95D0A,2,0,0,2003,12,3
112,19,A2S166WSCFIFP5,4,5,2,2004,3,14
113,19,ADC571K8L3ZLN,4,6,6,2004,10,20
114,20,AWHGCJOOZBTB5,5,10,10,2001,2,8
115,21,A3D0FUIHSMCHXG,5,1,1,1998,12,27
116,21,A106FE8HPE6LK6,4,9,9,1998,12,28
117,21,A1Y6LC4JFBCGZN,4,6,6,1999,4,19
118,21,A2A1EHOGR8MW0I,5,1,1,1999,5,11
119,21,A3I7CRNHGZVWXP,5,2,2,1999,6,9
120,21,A2GEKIVHR1VSHQ,4,0,0,1999,6,10
121,21,AKQV65L3TAIW8,5,1,1,1999,6,10
122,21,ATVPDKIKX0DER,5,20,19,1999,6,12
123,21,ATVPDKIKX0DER,5,1,1,1999,6,12
124,21,A2MOT9BXC3C6H2,5,0,0,1999,6,20
125,21,A2003P5YJPPC6P,5,2,2,1999,7,2
126,21,AWQXPWBP93Z4K,5,2,2,1999,7,26
127,21,A11XDEU9VOOWYN,5,4,2,1999,9,4
128,21,A3J953WDIBQX63,5,2,2,1999,9,4
129,21,A13JXEPCPXNUCI,5,27,26,1999,10,28
130,21,A1928PHI4RBCQ9,5,5,4,1999,10,28
131,21,AFZLD0HDJVJUJ,4,1,1,1999,12,5
132,21,AQXLBK2CDW2DP,1,41,1,1999,12,30
133,21,A1H2SCAYWQLMC0,5,5,3,2000,2,1
134,21,A1RPTVW5VEOSI,4,1,0,2000,3,14
135,21,AIMBOX2T0HV1H,4,7,5,2000,4,2
136,21,A1J3HK3IPLHOJ3,5,2,2,2000,5,25
137,21,ATVPDKIKX0DER,5,1,1,2000,5,29
138,21,A3NGH3DOKQFCWD,4,0,0,2000,6,20
139,21,A3LFRQVRXBTNCG,5,3,2,2000,6,25
140,21,A31HYO7EOTZG1Y,5,0,0,2000,6,28
141,21,A8473S963WDUZ,5,0,0,2000,6,28
142,21,A1L7G9JSLCY384,5,1,1,2000,6,30
143,21,AXY18W5QMN7UV,5,2,2,2000,7,2
144,21,A2X666IM8DP7PH,5,1,0,2000,8,7
145,21,A96DHMTN072M1,5,1,1,2000,9,8
146,21,AH64IJELQ4PJN,5,23,22,2000,9,16
147,21,A39ABH4E0APOG3,5,13,13,2000,9,20
148,21,A2X44DD1TN0P13,4,0,0,2000,9,23
149,21,A2AML5BI49ST3F,5,6,5,2000,10,2
150,21,AES0JMK0KYYHI,5,12,10,2000,10,2
151,21,A16VWWB8G00EPV,4,6,5,2000,10,3
152,21,A1BWHXTFOVF9CY,5,33,32,2000,10,8
153,21,A1UVMG7COVPLC6,5,3,3,2000,10,10
154,21,A2RFZ21T1WOLID,2,4,2,2000,10,18
155,21,A2KFUFXQ1YTWNT,5,7,6,2000,10,19
156,21,A14QW3EMN8PBZV,5,1,1,2000,11,1
157,21,A14QW3EMN8PBZV,5,8,7,2000,11,1
158,21,A20EEWWSFMZ1PN,5,2,2,2000,11,25
159,21,A22IK3I6U76GX0,5,4,3,2000,12,26
160,21,AU8552YCOO5QX,2,4,0,2001,1,7
161,21,AA5ELPH4F7AIP,1,21,3,2001,1,15
162,21,A324LH8S4C8U4W,5,1,1,2001,4,18
163,21,A2D9IEFJGB483Q,5,3,3,2001,5,12
164,21,AEXTGSES7BVSV,5,1,1,2001,6,8
165,21,A1RT82AIQFRRQS,5,1,1,2001,6,11
166,21,ARFBRSE35ZJ6A,4,3,3,2001,6,16
167,21,A2ZYH9XRO507OB,5,1,1,2001,6,25
168,21,A3HPOCPJJQNMWN,5,3,2,2001,7,3
